,id,city,ctripName,stars,strategymedal,goldmedal,silvermedal,price
0,344928,三亚,三亚亚龙湾万豪度假酒店,5,0,1,0,951
1,345001,上海,上海日航饭店,5,0,0,1,970
2,345008,广州,广州方圆奥克伍德豪景,0,0,1,0,1040
3,345012,广州,桔子水晶酒店(广州淘金店),0,1,0,0,826
4,345025,北京,北京中奥马哥孛罗大酒店,5,0,0,1,926
5,345029,北京,北京西单美爵酒店,4,0,0,1,788
6,345046,上海,上海富豪环球东亚酒店,5,0,1,0,856
7,345050,上海,上海静安禧睿酒店(原禧睿酒店南京西路店),0,0,1,0,341
8,345052,上海,上海美丽园大酒店,4,1,0,0,735
9,345065,三亚,三亚万丽度假酒店,0,0,1,0,538
10,345067,三亚,三亚海棠湾喜来登度假酒店,0,0,1,0,672
11,345069,三亚,三亚海棠湾万达希尔顿逸林度假酒店,0,0,1,0,760
12,345071,三亚,金茂三亚亚龙湾希尔顿大酒店,5,0,1,0,1178
13,345074,三亚,三亚亚龙湾瑞吉度假酒店,0,0,1,0,1748
14,345078,三亚,三亚亚龙湾美高梅度假酒店,0,0,1,0,1249
15,345080,三亚,三亚亚龙湾喜来登度假酒店,5,0,1,0,807
16,345082,三亚,三亚文华东方酒店,0,0,1,0,1250
17,345084,三亚,三亚锦江宝宏大酒店主楼,0,0,1,0,317
18,345088,三亚,三亚天泽海韵度假酒店,0,0,1,0,360
19,345093,三亚,三亚阳光大酒店,5,0,1,0,388
20,345095,三亚,三亚黎客国际酒店,0,0,1,0,328
21,345101,三亚,金茂三亚亚龙湾丽思卡尔顿酒店,5,0,1,0,1795
22,345553,三亚,三亚亚龙湾红树林度假酒店,5,0,1,0,878
23,345823,上海,上海虹桥锦江大酒店,5,0,1,0,763
24,346248,厦门,厦门泰谷酒店,0,1,0,0,448
25,346307,杭州,杭州中维歌德大酒店,5,0,1,0,989
26,346311,杭州,杭州马可波罗滨湖酒店,0,1,0,0,450
27,346313,杭州,杭州友好饭店,4,1,0,0,628
28,346316,杭州,浙江饭店,4,1,0,0,558
